 /* MUTANT (rep_op) */    else if (midVal != key)
SANITY CHECK...
SANITY CHECK OK (ORIGINAL CODE VERIFIES SUCCESSFULLY)
Checking mutant mutant100001_binsearch_std.c:  KILLED
Checking mutant mutant100002_binsearch_std.c:  KILLED
Checking mutant mutant100003_binsearch_std.c:  OTHER RESULT
Checking mutant mutant100004_binsearch_std.c:  KILLED
Checking mutant mutant100005_binsearch_std.c:  KILLED
Checking mutant mutant100006_binsearch_std.c:  KILLED
Checking mutant mutant100007_binsearch_std.c:  KILLED
Checking mutant mutant100008_binsearch_std.c:  KILLED
Checking mutant mutant100009_binsearch_std.c:  KILLED
Checking mutant mutant100010_binsearch_std.c:  KILLED
Checking mutant mutant100011_binsearch_std.c:  KILLED
Checking mutant mutant100012_binsearch_std.c:  KILLED
Checking mutant mutant100013_binsearch_std.c:  OTHER RESULT
Checking mutant mutant100014_binsearch_std.c:  KILLED
Checking mutant mutant100015_binsearch_std.c:  KILLED
Checking mutant mutant100016_binsearch_std.c:  KILLED
Checking mutant mutant100017_binsearch_std.c:  KILLED
Checking mutant mutant100018_binsearch_std.c:  KILLED
Checking mutant mutant100019_binsearch_std.c:  KILLED
Checking mutant mutant100020_binsearch_std.c:  OTHER RESULT
Checking mutant mutant100021_binsearch_std.c:  KILLED
Checking mutant mutant100022_binsearch_std.c:  KILLED
Checking mutant mutant100023_binsearch_std.c:  KILLED
Checking mutant mutant100024_binsearch_std.c:  KILLED
Checking mutant mutant100025_binsearch_std.c:  KILLED
Checking mutant mutant100026_binsearch_std.c:  KILLED
Checking mutant mutant100027_binsearch_std.c:  KILLED
Checking mutant mutant100028_binsearch_std.c:  KILLED
Checking mutant mutant100029_binsearch_std.c:  KILLED
Checking mutant mutant100030_binsearch_std.c:  KILLED
Checking mutant mutant100031_binsearch_std.c:  KILLED
Checking mutant mutant100032_binsearch_std.c:  KILLED
Checking mutant mutant100033_binsearch_std.c:  KILLED
Checking mutant mutant100034_binsearch_std.c:  KILLED
Checking mutant mutant100035_binsearch_std.c:  KILLED
Checking mutant mutant100036_binsearch_std.c:  KILLED
Checking mutant mutant100037_binsearch_std.c:  VERIFICATION SUCCESSFUL
Checking mutant mutant100038_binsearch_std.c:  KILLED
Checking mutant mutant100039_binsearch_std.c:  KILLED
Checking mutant mutant100040_binsearch_std.c:  KILLED
Checking mutant mutant100041_binsearch_std.c:  KILLED
Checking mutant mutant100042_binsearch_std.c:  KILLED
Checking mutant mutant100043_binsearch_std.c:  KILLED
Checking mutant mutant100044_binsearch_std.c:  KILLED
Checking mutant mutant100045_binsearch_std.c:  KILLED
45 TOTAL MUTANTS, 41 KILLED, 3 FAILED TO COMPILE (91.1111111111% kill rate)
SURVIVING MUTANTS:
mutant100037_binsearch_std.c
